trade_id,ticker,strategy,direction,entry_time,entry_price,shares,exit_time,exit_price,exit_reason,stop,target,hmm_state,gross_pnl,net_pnl,total_costs,limiting_factor
deafb9e2,NVDA,TREND_FOLLOW,SHORT,2017-01-03 14:00:00,2.5353,4141,2017-01-04 09:30:00,2.56,STOP_HIT,2.56,2.48,Normal,-102.28270000000069,-108.39057856264586,6.107878562645163,KELLY_CRITERION
fdfe6ee8,AMZN,TREND_FOLLOW,SHORT,2017-01-03 14:00:00,37.4528,280,2017-01-04 09:30:00,37.83,STOP_HIT,37.83,36.7,Normal,-105.61599999999856,-110.64923099999857,5.033231,KELLY_CRITERION
67d56693,EBAY,TREND_FOLLOW,SHORT,2017-01-03 14:00:00,29.715,353,2017-01-04 09:35:00,30.01,STOP_HIT,30.01,29.12,Normal,-104.1350000000006,-109.2028925750006,5.067892575,KELLY_CRITERION
9adc212d,ADBE,TREND_FOLLOW,SHORT,2017-01-10 14:00:00,108.18,97,2017-01-17 09:30:00,107.79,MAX_HOLD,109.26,106.02,Normal,37.830000000000055,33.514084675000056,4.315915325000001,KELLY_CRITERION
5862d87d,QCOM,TREND_FOLLOW,SHORT,2017-01-10 14:00:00,65.8729,159,2017-01-13 09:35:00,66.53,STOP_HIT,66.53,64.56,Normal,-104.47889999999997,-109.05970192499997,4.580801925,KELLY_CRITERION
5a17e76a,MMM,TREND_FOLLOW,SHORT,2017-01-10 14:00:00,147.5502,71,2017-01-11 11:15:00,149.03,STOP_HIT,149.03,144.6,Normal,-105.06580000000082,-109.42402157500082,4.358221575,KELLY_CRITERION
2947c631,COST,TREND_FOLLOW,LONG,2017-01-17 14:00:00,163.98,64,2017-01-23 09:30:00,164.05,MAX_HOLD,162.34,167.26,Normal,4.480000000001382,0.45528000000138213,4.02472,KELLY_CRITERION
4a9160ae,ADBE,TREND_FOLLOW,LONG,2017-01-17 14:00:00,107.54,97,2017-01-19 13:20:00,109.69,TARGET_HIT,106.47,109.69,Normal,208.54999999999916,204.47602449999917,4.0739755,KELLY_CRITERION
0edf5e3d,HON,TREND_FOLLOW,SHORT,2017-01-17 14:15:00,110.6975,94,2017-01-19 09:30:00,111.8,STOP_HIT,111.8,108.48,Normal,-103.63499999999925,-107.97055299999926,4.335552999999999,KELLY_CRITERION
11a649ed,AMGN,TREND_FOLLOW,LONG,2017-01-24 14:00:00,151.67,69,2017-01-27 15:15:00,157.24,TARGET_HIT,148.88,157.24,Normal,384.3300000000015,380.1826540000015,4.147346000000001,KELLY_CRITERION
955ac06d,CRM,TREND_FOLLOW,LONG,2017-01-24 14:00:00,77.0337,136,2017-01-30 09:30:00,77.8,MAX_HOLD,75.73,79.64,Normal,104.21680000000015,100.03752000000014,4.179279999999999,KELLY_CRITERION
d094a358,V,TREND_FOLLOW,LONG,2017-01-24 14:00:00,83.2799,126,2017-01-30 09:30:00,83.47,MAX_HOLD,82.3,85.24,Normal,23.952600000000132,19.830573000000133,4.122026999999999,KELLY_CRITERION
427e8f40,REGN,TREND_FOLLOW,LONG,2017-01-31 14:00:00,355.37,29,2017-02-06 09:30:00,357.86,MAX_HOLD,345.82,374.48,Normal,72.21000000000026,68.22772100000026,3.982279,KELLY_CRITERION
77ebdd6e,MMM,TREND_FOLLOW,SHORT,2017-01-31 14:00:00,145.3554,72,2017-02-06 09:30:00,145.5853,MAX_HOLD,147.02,142.02,Normal,-16.552799999999024,-20.873848453999024,4.321048454,KELLY_CRITERION
9e745795,XOM,TREND_FOLLOW,SHORT,2017-01-31 14:10:00,83.48,125,2017-02-06 09:30:00,83.55,MAX_HOLD,84.61,81.23,Normal,-8.749999999999147,-13.154390624999149,4.4043906250000004,KELLY_CRITERION
80576e5a,AMD,ORB,SHORT,2017-02-07 10:00:00,13.8149,1224,2017-02-07 15:55:00,13.28,EOD,14.27,12.9,Normal,654.7176000000004,647.3427632000004,7.374836800000001,KELLY_CRITERION
b3e75c13,BIIB,GF_SHORT,SHORT,2017-02-07 10:30:00,265.505,14,2017-02-07 13:30:00,266.26,TIME_STOP,269.6499615384615,261.895,Normal,-10.569999999999936,-12.329914099999936,1.7599140999999996,KELLY_CRITERION
dfa16af0,TSLA,TREND_FOLLOW,LONG,2017-02-07 14:00:00,17.2106,610,2017-02-09 09:30:00,17.98,TARGET_HIT,16.82,17.98,Normal,469.3340000000006,464.4952700000006,4.83873,KELLY_CRITERION
d1bc1f99,MU,ORB,SHORT,2017-02-14 10:05:00,22.8657,739,2017-02-14 15:55:00,23.115,EOD,23.37,21.86,Normal,-184.23269999999857,-191.82525433749856,7.592554337499999,KELLY_CRITERION
7bc9d5f9,AMZN,TREND_FOLLOW,LONG,2017-02-15 14:00:00,42.0265,249,2017-02-21 09:30:00,42.442,MAX_HOLD,41.38,43.32,Normal,103.45950000000039,98.88917970000038,4.570320300000001,KELLY_CRITERION
4a0f08e3,EBAY,TREND_FOLLOW,LONG,2017-02-15 14:00:00,34.0178,308,2017-02-21 09:30:00,33.76,MAX_HOLD,33.42,35.21,Normal,-79.40240000000097,-84.04172800000097,4.639328,KELLY_CRITERION
48508539,TSLA,TREND_FOLLOW,LONG,2017-02-21 14:00:00,18.5973,564,2017-02-23 09:30:00,18.13,STOP_HIT,18.13,19.54,Normal,-263.5572000000009,-268.1360620000009,4.578862,KELLY_CRITERION
c99efd37,PANW,PE_SHORT,SHORT,2017-03-01 09:30:00,19.9933,907,2017-03-02 15:55:00,19.4042,EOD,20.82,18.35,Calm,534.3137000000017,527.3641631168017,6.9495368832,VOLATILITY_TARGET
62a81eaf,AVGO,ORB,SHORT,2017-05-17 09:55:00,23.6315,715,2017-05-17 15:55:00,23.118,EOD,23.897,23.1,Normal,367.1525000000004,359.77323782500036,7.379262174999999,KELLY_CRITERION
79dd55b8,GS,ORB,SHORT,2017-05-17 10:00:00,219.28,77,2017-05-17 14:20:00,213.52,TARGET_HIT,222.16,213.52,Normal,443.5199999999993,436.9484923999993,6.5715076,KELLY_CRITERION
48f48bb9,AMAT,TREND_FOLLOW,SHORT,2017-05-17 14:00:00,43.49,241,2017-05-19 09:30:00,44.0,STOP_HIT,44.0,41.92,Normal,-122.90999999999951,-127.80350499999952,4.893505,KELLY_CRITERION
acd6ce3d,AMD,ORB,SHORT,2017-06-21 09:55:00,13.17,1284,2017-06-21 10:40:00,13.65,STOP_HIT,13.65,12.21,Normal,-616.3200000000005,-624.1866715000006,7.866671500000001,KELLY_CRITERION
89d7515c,ADBE,TREND_FOLLOW,SHORT,2017-06-21 14:00:00,142.99,73,2017-06-26 09:30:00,146.06,MAX_HOLD,146.45,136.08,Normal,-224.1099999999995,-228.4992834499995,4.389283450000001,KELLY_CRITERION
1e23f255,AMZN,TREND_FOLLOW,LONG,2017-06-21 14:10:00,49.8725,210,2017-06-26 09:30:00,50.425,MAX_HOLD,48.71,52.2,Normal,116.02499999999893,111.58376249999893,4.4412375,KELLY_CRITERION
9c5e20b9,MS,ORB,SHORT,2017-06-29 10:20:00,45.01,375,2017-06-29 15:55:00,44.77,EOD,45.61,43.81,Normal,89.99999999999808,82.58912187499809,7.410878125,KELLY_CRITERION
19e4863b,GOOGL,TREND_FOLLOW,SHORT,2017-06-29 14:00:00,46.5095,225,2017-07-05 09:30:00,46.21,MAX_HOLD,47.51,44.51,Normal,67.38750000000041,62.63116312500041,4.756336875000001,KELLY_CRITERION
24b3fde3,GS,TREND_FOLLOW,SHORT,2017-06-29 14:00:00,224.27,46,2017-07-03 11:30:00,228.39,STOP_HIT,228.39,216.03,Normal,-189.5199999999989,-193.8449623499989,4.324962349999999,KELLY_CRITERION
